,RF (0-100 km),RR (0-100 km),LR (0-100 km),LF (0-100 km),RF (100-200 km),RR (100-200 km),LR (100-200 km),LF (100-200 km),RF (200-400 km),RR (200-400 km),LR (200-400 km),LF (200-400 km)
2017-08-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-25 01:00:00,14.74,14.257,3.149,3.89,0.802,0.128,0.027,0.087,0.08,0.002,0.0,0.158
2017-08-25 02:00:00,38.532,49.284,21.942,11.481,2.349,0.715,0.077,0.347,0.325,0.004,0.001,0.739
2017-08-25 03:00:00,70.845,61.992,67.175,30.912,5.655,2.552,0.997,3.69,0.965,0.041,0.012,1.283
2017-08-25 04:00:00,81.581,52.812,104.471,68.245,9.069,3.463,2.962,9.799,1.641,0.107,0.112,2.052
2017-08-25 05:00:00,65.024,46.113,93.336,87.841,12.115,4.55,4.582,17.308,2.206,0.204,0.259,3.394
2017-08-25 06:00:00,61.605,52.463,85.146,100.226,15.039,5.387,6.443,24.034,2.903,0.437,0.4,5.211
2017-08-25 07:00:00,60.925,58.545,81.695,110.98,17.62,6.299,9.154,31.896,3.857,0.708,0.607,7.527
2017-08-25 08:00:00,61.347,59.168,83.953,117.914,19.797,6.787,13.013,43.122,4.866,0.963,0.814,10.111
2017-08-25 09:00:00,65.857,60.209,88.483,119.037,21.45,8.128,14.89,59.201,6.242,1.125,1.135,12.761
2017-08-25 10:00:00,68.762,59.487,96.325,121.484,24.217,10.456,16.769,77.939,7.81,1.39,1.358,15.957
2017-08-25 11:00:00,66.675,56.469,99.876,122.182,27.279,14.292,18.227,94.262,9.728,1.212,1.533,19.75
2017-08-25 12:00:00,69.111,54.444,97.243,121.377,29.851,19.005,20.029,104.923,11.803,0.74,1.617,23.589
2017-08-25 13:00:00,70.848,60.139,93.703,124.764,32.166,24.225,23.151,113.38,13.56,0.246,1.717,27.17
2017-08-25 14:00:00,77.96,71.582,94.607,124.804,34.745,25.724,26.964,120.181,15.213,0.074,1.734,31.843
2017-08-25 15:00:00,90.2,88.312,109.383,126.655,39.086,23.452,29.006,124.686,16.92,0.07,1.704,38.253
2017-08-25 16:00:00,94.593,98.548,134.025,136.669,44.598,20.724,29.252,126.67,18.461,0.092,1.747,45.646
2017-08-25 17:00:00,95.775,101.876,153.105,147.003,50.648,16.619,28.827,127.756,19.916,0.174,1.89,53.121
2017-08-25 18:00:00,101.192,106.802,167.375,157.467,56.0,11.481,28.882,128.054,21.233,0.275,1.942,59.147
2017-08-25 19:00:00,110.784,112.424,182.999,172.209,60.621,7.667,29.786,129.329,22.623,0.465,1.888,63.561
2017-08-25 20:00:00,117.006,113.063,188.835,185.896,63.883,6.385,31.067,132.2,23.948,0.727,1.85,67.466
